order_id,customer_id,company_name,employee_id,order_date,unit_price,quantity,discount,required_date,shipped_date,ship_via,freight,product_id,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country
10269,WHITC,White Clover Markets,5,1996-07-31,2,60,0.05,1996-08-14,1996-08-09,1,4.56,33,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10270,WARTH,Wartian Herkku,1,1996-08-01,15.2,30,0,1996-08-29,1996-08-02,1,136.54,36,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10271,SPLIR,Split Rail Beer & Ale,6,1996-08-01,2,24,0,1996-08-29,1996-08-30,2,4.54,33,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10272,RATTC,Rattlesnake Canyon Grocery,6,1996-08-02,64.8,6,0,1996-08-30,1996-08-06,2,98.03,20,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10273,QUICK,QUICK-Stop,3,1996-08-05,24.8,24,0.05,1996-09-02,1996-08-12,3,76.07,10,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
10274,VINET,Vins et alcools Chevalier,6,1996-08-06,17.2,20,0,1996-09-03,1996-08-16,1,6.01,71,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
10275,MAGAA,Magazzini Alimentari Riuniti,1,1996-08-07,3.6,12,0.05,1996-09-04,1996-08-09,1,26.93,24,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
10276,TORTU,Tortuga Restaurante,8,1996-08-08,24.8,15,0,1996-08-22,1996-08-14,3,13.84,10,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
10277,MORGK,Morgenstern Gesundkost,2,1996-08-09,36.4,20,0,1996-09-06,1996-08-13,3,125.77,28,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,04179,Germany
10278,BERGS,Berglunds snabbköp,8,1996-08-12,15.5,16,0,1996-09-09,1996-08-16,2,92.69,44,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
10279,LEHMS,Lehmanns Marktstand,8,1996-08-13,31.2,15,0.25,1996-09-10,1996-08-16,2,25.83,17,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
10280,BERGS,Berglunds snabbköp,2,1996-08-14,3.6,12,0,1996-09-11,1996-09-12,1,8.98,24,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
10281,ROMEY,Romero y tomillo,4,1996-08-14,7.3,1,0,1996-08-28,1996-08-21,1,2.94,19,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain
10282,ROMEY,Romero y tomillo,4,1996-08-15,20.7,6,0,1996-09-12,1996-08-21,1,12.69,30,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain
10283,LILAS,LILA-Supermercado,3,1996-08-16,12.4,20,0,1996-09-13,1996-08-23,3,84.81,15,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10284,LEHMS,Lehmanns Marktstand,4,1996-08-19,35.1,15,0.25,1996-09-16,1996-08-27,1,76.56,27,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
10285,QUICK,QUICK-Stop,1,1996-08-20,14.4,45,0.2,1996-09-17,1996-08-26,2,76.83,1,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
10286,QUICK,QUICK-Stop,8,1996-08-21,14.4,100,0,1996-09-18,1996-08-30,3,229.24,35,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
10287,RICAR,Ricardo Adocicados,8,1996-08-22,13.9,40,0.15,1996-09-19,1996-08-28,3,12.76,16,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil
10288,REGGC,Reggiani Caseifici,4,1996-08-23,5.9,10,0.1,1996-09-20,1996-09-03,1,7.45,54,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,42100,Italy
10289,BSBEV,B's Beverages,7,1996-08-26,8,30,0,1996-09-23,1996-08-28,3,22.77,3,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK
10290,COMMI,Comércio Mineiro,8,1996-08-27,17,20,0,1996-09-24,1996-09-03,1,79.7,5,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil
10291,QUEDE,Que Delícia,6,1996-08-27,4.8,20,0.1,1996-09-24,1996-09-04,2,6.4,13,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
10292,TRADH,Tradição Hipermercados,1,1996-08-28,64.8,20,0,1996-09-25,1996-09-02,2,1.35,20,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil
10293,TORTU,Tortuga Restaurante,1,1996-08-29,50,12,0,1996-09-26,1996-09-11,3,21.18,18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
10294,RATTC,Rattlesnake Canyon Grocery,4,1996-08-30,14.4,18,0,1996-09-27,1996-09-05,2,147.26,1,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10295,VINET,Vins et alcools Chevalier,2,1996-09-02,30.4,4,0,1996-09-30,1996-09-10,2,1.15,56,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
10296,LILAS,LILA-Supermercado,6,1996-09-03,16.8,12,0,1996-10-01,1996-09-11,1,0.12,11,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10297,BLONP,Blondesddsl père et fils,5,1996-09-04,14.4,60,0,1996-10-16,1996-09-10,2,5.74,39,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France
10298,HUNGO,Hungry Owl All-Night Grocers,6,1996-09-05,15.2,40,0,1996-10-03,1996-09-11,2,168.22,2,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10299,RICAR,Ricardo Adocicados,4,1996-09-06,7.3,15,0,1996-10-04,1996-09-13,2,29.76,19,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil
10300,MAGAA,Magazzini Alimentari Riuniti,2,1996-09-09,13.6,30,0,1996-10-07,1996-09-18,2,17.68,66,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
10301,WANDK,Die Wandernde Kuh,8,1996-09-09,14.7,10,0,1996-10-07,1996-09-17,2,45.08,40,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
10302,SUPRD,Suprêmes délices,4,1996-09-10,31.2,40,0,1996-10-08,1996-10-09,2,6.27,17,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium
10303,GODOS,Godos Cocina Típica,7,1996-09-11,14.7,40,0.1,1996-10-09,1996-09-18,2,107.83,40,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,41101,Spain
10304,TORTU,Tortuga Restaurante,1,1996-09-12,16,30,0,1996-10-10,1996-09-17,2,63.79,49,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
10305,OLDWO,Old World Delicatessen,8,1996-09-13,50,25,0.1,1996-10-11,1996-10-09,3,257.62,18,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10306,ROMEY,Romero y tomillo,1,1996-09-16,20.7,10,0,1996-10-14,1996-09-23,3,7.56,30,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain
10307,LONEP,Lonesome Pine Restaurant,2,1996-09-17,39.4,10,0,1996-10-15,1996-09-25,2,0.56,62,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
10308,ANATR,Ana Trujillo Emparedados y helados,7,1996-09-18,28.8,1,0,1996-10-16,1996-09-24,3,1.61,69,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico
10309,HUNGO,Hungry Owl All-Night Grocers,3,1996-09-19,17.6,20,0,1996-10-17,1996-10-23,1,47.3,4,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10310,THEBI,The Big Cheese,8,1996-09-20,13.9,10,0,1996-10-18,1996-09-27,2,17.52,16,The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA
10311,DUMON,Du monde entier,1,1996-09-20,11.2,6,0,1996-10-04,1996-09-26,3,24.69,42,Du monde entier,"67, rue des Cinquante Otages",Nantes,,44000,France
10312,WANDK,Die Wandernde Kuh,2,1996-09-23,36.4,4,0,1996-10-21,1996-10-03,2,40.26,28,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
10313,QUICK,QUICK-Stop,2,1996-09-24,15.2,12,0,1996-10-22,1996-10-04,2,1.96,36,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
10314,RATTC,Rattlesnake Canyon Grocery,1,1996-09-25,25.6,40,0.1,1996-10-23,1996-10-04,2,74.16,32,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10315,ISLAT,Island Trading,4,1996-09-26,11.2,14,0,1996-10-24,1996-10-03,2,41.76,34,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10316,RATTC,Rattlesnake Canyon Grocery,1,1996-09-27,7.7,10,0,1996-10-25,1996-10-08,3,150.15,41,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10317,LONEP,Lonesome Pine Restaurant,6,1996-09-30,14.4,20,0,1996-10-28,1996-10-10,1,12.69,1,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
10318,ISLAT,Island Trading,8,1996-10-01,7.7,20,0,1996-10-29,1996-10-04,2,4.73,41,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10319,TORTU,Tortuga Restaurante,7,1996-10-02,31.2,8,0,1996-10-30,1996-10-11,3,64.5,17,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
10320,WARTH,Wartian Herkku,5,1996-10-03,17.2,30,0,1996-10-17,1996-10-18,3,34.57,71,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10321,ISLAT,Island Trading,3,1996-10-03,14.4,10,0,1996-10-31,1996-10-11,2,3.43,35,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10322,PERIC,Pericles Comidas clásicas,7,1996-10-04,5.6,20,0,1996-11-01,1996-10-23,3,0.4,52,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico
10323,KOENE,Königlich Essen,4,1996-10-07,12.4,5,0,1996-11-04,1996-10-14,1,4.88,15,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany
10324,SAVEA,Save-a-lot Markets,9,1996-10-08,13.9,21,0.15,1996-11-05,1996-10-10,1,214.27,16,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10325,KOENE,Königlich Essen,1,1996-10-09,20,6,0,1996-10-23,1996-10-14,3,64.86,6,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany
10326,BOLID,Bólido Comidas preparadas,4,1996-10-10,17.6,24,0,1996-11-07,1996-10-14,2,77.92,4,Bólido Comidas preparadas,"C/ Araquil, 67",Madrid,,28023,Spain
10327,FOLKO,Folk och fä HB,2,1996-10-11,15.2,25,0.2,1996-11-08,1996-10-14,1,63.36,2,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
10328,FURIB,Furia Bacalhau e Frutos do Mar,4,1996-10-14,44,9,0,1996-11-11,1996-10-17,3,87.03,59,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal
10329,SPLIR,Split Rail Beer & Ale,4,1996-10-15,7.3,10,0.05,1996-11-26,1996-10-23,2,191.67,19,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10330,LILAS,LILA-Supermercado,3,1996-10-16,24.9,50,0.15,1996-11-13,1996-10-28,1,12.75,26,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10331,BONAP,Bon app',9,1996-10-16,5.9,15,0,1996-11-27,1996-10-21,1,10.19,54,Bon app',"12, rue des Bouchers",Marseille,,13008,France
10332,MEREP,Mère Paillarde,3,1996-10-17,50,40,0.2,1996-11-28,1996-10-21,2,52.84,18,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10333,WARTH,Wartian Herkku,5,1996-10-18,18.6,10,0,1996-11-15,1996-10-25,3,0.59,14,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10334,VICTE,Victuailles en stock,8,1996-10-21,5.6,8,0,1996-11-18,1996-10-28,2,8.56,52,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France
10335,HUNGO,Hungry Owl All-Night Grocers,7,1996-10-22,15.2,7,0.2,1996-11-19,1996-10-24,2,42.11,2,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10336,PRINI,Princesa Isabel Vinhos,7,1996-10-23,17.6,18,0.1,1996-11-20,1996-10-25,2,15.51,4,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal
10337,FRANK,Frankenversand,4,1996-10-24,7.2,40,0,1996-11-21,1996-10-29,3,108.26,23,Frankenversand,Berliner Platz 43,München,,80805,Germany
10338,OLDWO,Old World Delicatessen,4,1996-10-25,31.2,20,0,1996-11-22,1996-10-29,3,84.21,17,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10339,MEREP,Mère Paillarde,2,1996-10-28,17.6,10,0,1996-11-25,1996-11-04,2,15.66,4,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10340,BONAP,Bon app',1,1996-10-29,50,20,0.05,1996-11-26,1996-11-08,3,166.31,18,Bon app',"12, rue des Bouchers",Marseille,,13008,France
10341,SIMOB,Simons bistro,7,1996-10-29,2,8,0,1996-11-26,1996-11-05,3,26.78,33,Simons bistro,Vinbæltet 34,Kobenhavn,,1734,Denmark
10342,FRANK,Frankenversand,4,1996-10-30,15.2,24,0.2,1996-11-13,1996-11-04,2,54.83,2,Frankenversand,Berliner Platz 43,München,,80805,Germany
10343,LEHMS,Lehmanns Marktstand,4,1996-10-31,26.6,50,0,1996-11-28,1996-11-06,1,110.37,64,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
10344,WHITC,White Clover Markets,4,1996-11-01,17.6,35,0,1996-11-29,1996-11-05,2,23.29,4,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10345,QUICK,QUICK-Stop,2,1996-11-04,32,70,0,1996-12-02,1996-11-11,2,249.06,8,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
10346,RATTC,Rattlesnake Canyon Grocery,3,1996-11-05,31.2,36,0.1,1996-12-17,1996-11-08,3,142.08,17,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10347,FAMIA,Familia Arquibaldo,4,1996-11-06,11.2,10,0,1996-12-04,1996-11-08,3,3.1,25,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil
10348,WANDK,Die Wandernde Kuh,4,1996-11-07,14.4,15,0.15,1996-12-05,1996-11-15,2,0.78,1,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
10349,SPLIR,Split Rail Beer & Ale,7,1996-11-08,5.9,24,0,1996-12-06,1996-11-15,1,8.63,54,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10350,LAMAI,La maison d'Asie,6,1996-11-11,13,15,0.1,1996-12-09,1996-12-03,2,64.19,50,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
10351,ERNSH,Ernst Handel,1,1996-11-11,210.8,20,0.05,1996-12-09,1996-11-20,1,162.33,38,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10352,FURIB,Furia Bacalhau e Frutos do Mar,3,1996-11-12,3.6,10,0,1996-11-26,1996-11-18,3,1.3,24,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal
10353,PICCO,Piccolo und mehr,7,1996-11-13,16.8,12,0.2,1996-12-11,1996-11-25,3,360.63,11,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria
10354,PERIC,Pericles Comidas clásicas,8,1996-11-14,14.4,12,0,1996-12-12,1996-11-20,3,53.8,1,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico
10355,AROUT,Around the Horn,6,1996-11-15,3.6,25,0,1996-12-13,1996-11-20,1,41.95,24,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
10356,WANDK,Die Wandernde Kuh,6,1996-11-18,10,30,0,1996-12-16,1996-11-27,2,36.71,31,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
10357,LILAS,LILA-Supermercado,1,1996-11-19,24.8,30,0.2,1996-12-17,1996-12-02,3,34.88,10,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10358,LAMAI,La maison d'Asie,5,1996-11-20,3.6,10,0.05,1996-12-18,1996-11-27,1,19.64,24,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
10359,SEVES,Seven Seas Imports,5,1996-11-21,13.9,56,0.05,1996-12-19,1996-11-26,3,288.43,16,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK
10360,BLONP,Blondesddsl père et fils,4,1996-11-22,36.4,30,0,1996-12-20,1996-12-02,3,131.7,28,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France
10361,QUICK,QUICK-Stop,1,1996-11-22,14.4,54,0.1,1996-12-20,1996-12-03,2,183.17,39,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
10362,BONAP,Bon app',3,1996-11-25,11.2,50,0,1996-12-23,1996-11-28,1,96.04,25,Bon app',"12, rue des Bouchers",Marseille,,13008,France
10363,DRACD,Drachenblut Delikatessen,4,1996-11-26,10,20,0,1996-12-24,1996-12-04,3,30.54,31,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Germany
10364,EASTC,Eastern Connection,1,1996-11-26,28.8,30,0,1997-01-07,1996-12-04,1,71.97,69,Eastern Connection,35 King George,London,,WX3 6FW,UK
10365,ANTON,Antonio Moreno Taquería,3,1996-11-27,16.8,24,0,1996-12-25,1996-12-02,2,22,11,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico
10366,GALED,Galería del gastrónomo,8,1996-11-28,16.8,5,0,1997-01-09,1996-12-30,2,10.14,65,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,,8022,Spain
10367,VAFFE,Vaffeljernet,7,1996-11-28,11.2,36,0,1996-12-26,1996-12-02,3,13.55,34,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark
10368,ERNSH,Ernst Handel,2,1996-11-29,8,5,0.1,1996-12-27,1996-12-02,2,101.95,21,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10369,SPLIR,Split Rail Beer & Ale,8,1996-12-02,99,20,0,1996-12-30,1996-12-09,2,195.68,29,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10370,CHOPS,Chop-suey Chinese,6,1996-12-03,14.4,15,0.15,1996-12-31,1996-12-27,2,1.17,1,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland
10371,LAMAI,La maison d'Asie,1,1996-12-03,15.2,6,0.2,1996-12-31,1996-12-24,1,0.45,36,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
10372,QUEEN,Queen Cozinha,5,1996-12-04,64.8,12,0.25,1997-01-01,1996-12-09,2,890.78,20,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil
10373,HUNGO,Hungry Owl All-Night Grocers,4,1996-12-05,10.6,80,0.2,1997-01-02,1996-12-11,3,124.12,58,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10374,WOLZA,Wolski  Zajazd,1,1996-12-05,10,30,0,1997-01-02,1996-12-09,3,3.94,31,Wolski Zajazd,ul. Filtrowa 68,Warszawa,,01-012,Poland
10375,HUNGC,Hungry Coyote Import Store,3,1996-12-06,18.6,15,0,1997-01-03,1996-12-09,2,20.12,14,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
10376,MEREP,Mère Paillarde,1,1996-12-09,10,42,0.05,1997-01-06,1996-12-13,2,20.39,31,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10377,SEVES,Seven Seas Imports,1,1996-12-09,36.4,20,0.15,1997-01-06,1996-12-13,3,22.21,28,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK
10378,FOLKO,Folk och fä HB,5,1996-12-10,17.2,6,0,1997-01-07,1996-12-19,3,5.44,71,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
10379,QUEDE,Que Delícia,2,1996-12-11,7.7,8,0.1,1997-01-08,1996-12-13,1,45.03,41,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
10380,HUNGO,Hungry Owl All-Night Grocers,8,1996-12-12,20.7,18,0.1,1997-01-09,1997-01-16,3,35.03,30,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10381,LILAS,LILA-Supermercado,3,1996-12-12,8,14,0,1997-01-09,1996-12-13,3,7.99,74,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10382,ERNSH,Ernst Handel,4,1996-12-13,17,32,0,1997-01-10,1996-12-16,1,94.77,5,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10383,AROUT,Around the Horn,8,1996-12-16,4.8,20,0,1997-01-13,1996-12-18,3,34.24,13,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
10384,BERGS,Berglunds snabbköp,3,1996-12-16,64.8,28,0,1997-01-13,1996-12-20,3,168.64,20,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
10385,SPLIR,Split Rail Beer & Ale,1,1996-12-17,24,10,0.2,1997-01-14,1996-12-23,2,30.96,7,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10386,FAMIA,Familia Arquibaldo,9,1996-12-18,3.6,15,0,1997-01-01,1996-12-25,3,13.99,24,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil
10387,SANTG,Santé Gourmet,1,1996-12-18,3.6,15,0,1997-01-15,1996-12-20,2,93.63,24,Santé Gourmet,Erling Skakkes gate 78,Stavern,,4110,Norway
10388,SEVES,Seven Seas Imports,2,1996-12-19,7.6,15,0.2,1997-01-16,1996-12-20,1,34.86,45,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK
10389,BOTTM,Bottom-Dollar Markets,4,1996-12-20,24.8,16,0,1997-01-17,1996-12-24,2,47.42,10,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
